id	dirTag	epoch	heading	lastTime	lat	local	lon	predictable	D#routeTag	secondsPastMidnight	secsSinceReport	speedKmHr	time	utc	vehicleId
6636	1_1_var0	1331096410	217	1331096399212	42.3726502	3/7/2012 12:00:10 AM	-71.1161031	true	1	10	17	0	1331096399212	3/7/2012 5:00:10 AM	2249
6637	1_0_var0	1331096425	314	1331096429282	42.3598172	3/7/2012 12:00:25 AM	-71.09427	true	1	25	2	0	1331096429282	3/7/2012 5:00:25 AM	2277
6638	1_0_var0	1331096425	217	1331096429282	42.3329493	3/7/2012 12:00:25 AM	-71.0742508	true	1	25	2	0	1331096429282	3/7/2012 5:00:25 AM	2210
6639	1_1_var0	1331096440	155	1331096444308	42.3587881	3/7/2012 12:00:40 AM	-71.0934907	true	1	40	2	0	1331096444308	3/7/2012 5:00:40 AM	2201
6640	1_1_var0	1331096440	221	1331096444308	42.3330079	3/7/2012 12:00:40 AM	-71.0742399	true	1	40	2	0	1331096444308	3/7/2012 5:00:40 AM	2256
6641	1_1_var0	1331096455	217	1331096459356	42.372648	3/7/2012 12:00:55 AM	-71.1162234	true	1	55	1	0	1331096459356	3/7/2012 5:00:55 AM	2249
6642	1_1_var0	1331096470	160	1331096474376	42.3580175	3/7/2012 12:01:10 AM	-71.0930656	true	1	70	1	0	1331096474376	3/7/2012 5:01:10 AM	2201
6643	1_0_var0	1331096485	308	1331096489415	42.3609923	3/7/2012 12:01:25 AM	-71.0961137	true	1	85	1	0	1331096489415	3/7/2012 5:01:25 AM	2277
6644	1_0_var0	1331096485	217	1331096489415	42.3338046	3/7/2012 12:01:25 AM	-71.0735705	true	1	85	1	0	1331096489415	3/7/2012 5:01:25 AM	2210
6645	1_1_var0	1331096485	275	1331096489415	42.3320969	3/7/2012 12:01:25 AM	-71.0792395	true	1	85	1	0	1331096489415	3/7/2012 5:01:25 AM	2256
6643	1_0_var0	1331096500	308	1331096489415	42.3609923	3/7/2012 12:01:40 AM	-71.0961137	true	1	100	1	0	1331096489415	3/7/2012 5:01:40 AM	2277
6644	1_0_var0	1331096500	217	1331096489415	42.3338046	3/7/2012 12:01:40 AM	-71.0735705	true	1	100	1	0	1331096489415	3/7/2012 5:01:40 AM	2210
6645	1_1_var0	1331096500	275	1331096489415	42.3320969	3/7/2012 12:01:40 AM	-71.0792395	true	1	100	1	0	1331096489415	3/7/2012 5:01:40 AM	2256
6646	1_1_var0	1331096515	217	1331096519488	42.3731109	3/7/2012 12:01:55 AM	-71.1176907	true	1	115	2	0	1331096519488	3/7/2012 5:01:55 AM	2249
6647	1_1_var0	1331096530	160	1331096534502	42.3568217	3/7/2012 12:02:10 AM	-71.0924966	true	1	130	1	0	1331096534502	3/7/2012 5:02:10 AM	2201
6648	1_0_var0	1331096545	311	1331096549559	42.3629472	3/7/2012 12:02:25 AM	-71.0994048	true	1	145	1	0	1331096549559	3/7/2012 5:02:25 AM	2277
6649	1_1_var0	1331096545	185	1331096549559	42.3326441	3/7/2012 12:02:25 AM	-71.0812524	true	1	145	1	0	1331096549559	3/7/2012 5:02:25 AM	2256
6650		1331096560	-4	1331096564577	42.3362944	3/7/2012 12:02:40 AM	-71.0767407	false	43	160	1	0	1331096564577	3/7/2012 5:02:40 AM	2210
6650		1331096575	-4	1331096564577	42.3362944	3/7/2012 12:02:55 AM	-71.0767407	false	43	175	1	0	1331096564577	3/7/2012 5:02:55 AM	2210
6651	1_1_var0	1331096590	161	1331096594646	42.3511469	3/7/2012 12:03:10 AM	-71.0896504	true	1	190	1	0	1331096594646	3/7/2012 5:03:10 AM	2201
6652	1_1_var0	1331096590	217	1331096594646	42.3731109	3/7/2012 12:03:10 AM	-71.1176907	true	1	190	16	0	1331096594646	3/7/2012 5:03:10 AM	2249
6653	1_1_var0	1331096590	237	1331096594646	42.3303362	3/7/2012 12:03:10 AM	-71.0839848	true	1	190	1	0	1331096594646	3/7/2012 5:03:10 AM	2256
6654	1_0_var0	1331096605	307	1331096609685	42.3638353	3/7/2012 12:03:25 AM	-71.1009581	true	1	205	1	0	1331096609685	3/7/2012 5:03:25 AM	2277
6655	1_0_var0	1331096605	320	1331096609685	42.3371572	3/7/2012 12:03:25 AM	-71.0777737	true	1	205	1	0	1331096609685	3/7/2012 5:03:25 AM	2210
6654	1_0_var0	1331096620	307	1331096609685	42.3638353	3/7/2012 12:03:40 AM	-71.1009581	true	1	220	1	0	1331096609685	3/7/2012 5:03:40 AM	2277
6655	1_0_var0	1331096620	320	1331096609685	42.3371572	3/7/2012 12:03:40 AM	-71.0777737	true	1	220	1	0	1331096609685	3/7/2012 5:03:40 AM	2210
6656	1_1_var0	1331096635	217	1331096639748	42.3733097	3/7/2012 12:03:55 AM	-71.1184436	true	1	235	1	0	1331096639748	3/7/2012 5:03:55 AM	2249
6657	1_1_var0	1331096650	119	1331096654765	42.3478986	3/7/2012 12:04:10 AM	-71.0880832	true	1	250	1	0	1331096654765	3/7/2012 5:04:10 AM	2201
6658	1_0_var0	1331096650	217	1331096654765	42.3297976	3/7/2012 12:04:10 AM	-71.0836954	true	1	250	1	0	1331096654765	3/7/2012 5:04:10 AM	2256
6659	1_0_var0	1331096665	309	1331096669808	42.3653095	3/7/2012 12:04:25 AM	-71.1034081	true	1	265	1	0	1331096669808	3/7/2012 5:04:25 AM	2277
6660	1_0_var0	1331096665	318	1331096669808	42.3403611	3/7/2012 12:04:25 AM	-71.0813587	true	1	265	1	0	1331096669808	3/7/2012 5:04:25 AM	2210
6659	1_0_var0	1331096680	309	1331096669808	42.3653095	3/7/2012 12:04:40 AM	-71.1034081	true	1	280	1	0	1331096669808	3/7/2012 5:04:40 AM	2277
6660	1_0_var0	1331096680	318	1331096669808	42.3403611	3/7/2012 12:04:40 AM	-71.0813587	true	1	280	1	0	1331096669808	3/7/2012 5:04:40 AM	2210
6661	1_1_var0	1331096695	109	1331096699877	42.3755201	3/7/2012 12:04:55 AM	-71.1156905	true	1	295	1	0	1331096699877	3/7/2012 5:04:55 AM	2249
6661	1_1_var0	1331096710	109	1331096699877	42.3755201	3/7/2012 12:05:10 AM	-71.1156905	true	1	310	1	0	1331096699877	3/7/2012 5:05:10 AM	2249
6662	1_0_var0	1331096725	307	1331096729943	42.3657564	3/7/2012 12:05:25 AM	-71.1042727	true	1	325	1	0	1331096729943	3/7/2012 5:05:25 AM	2277
6663	1_1_var0	1331096725	165	1331096729943	42.3462957	3/7/2012 12:05:25 AM	-71.0872475	true	1	325	16	0	1331096729943	3/7/2012 5:05:25 AM	2201
6664	1_0_var0	1331096725	327	1331096729943	42.3420517	3/7/2012 12:05:25 AM	-71.0839269	true	1	325	1	0	1331096729943	3/7/2012 5:05:25 AM	2210
